Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
,,,,,,,,,,,,,"899.000,00₫",-50%
Ancestors: The Humankind Odyssey,"Action, Adventure, Indie, RPG","Open World Survival Craft, Survival, Exploration, Open World, Singleplayer, Adventure, Crafting, Simulation, RPG, Action, Atmospheric, Third Person, Immersive Sim, Nature, Choices Matter, Historical, Science, Indie, Multiplayer, Action-Adventure",True,False,Private Division,"27 Aug, 2020",Panache Digital Games,Private Division,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese","(6,703)","(8,622)","(1,919)","680.000,00₫",-75%
Parking Tycoon: Business Simulator,"Indie, Simulation, Strategy","Simulation, Casual, Automobile Sim, First-Person, Singleplayer, RPG, City Builder, Sandbox, Exploration, CRPG, Third Person, Realistic, Crafting, Logic, Management, Building, Base Building, Indie, Strategy",False,False,,"3 Nov, 2023",Geekon,Midnight Games,"English, French, German, Spanish - Spain, Russian, Simplified Chinese",327,414,87,"180.000,00₫",-20%
Neon Abyss,"Action, Adventure, Indie, RPG","Roguelike, Loot, Platformer, Procedural Generation, Singleplayer, Pixel Graphics, Replay Value, Cyberpunk, Shooter, Adventure, Roguelite, Action Roguelike, Dungeon Crawler, RPG, Bullet Hell, 2D Platformer, Action, 2D, Action-Adventure, Character Customization",True,False,Team17 Digital,"14 Jul, 2020",Veewo Games,Team17,"English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Russian, Traditional Chinese","(18,795)","(21,573)","(2,778)","400.000,00₫",-66%
Hero's Hour,"RPG, Strategy","Turn-Based, Pixel Graphics, Singleplayer, Strategy, Turn-Based Strategy, Fantasy, Level Editor, Turn-Based Tactics, Multiplayer, Strategy RPG, Auto Battler, Procedural Generation, RPG, Old School, 2D, Tactical, PvP, Local Co-Op, Atmospheric, 4X",True,False,Goblinz Publishing,"1 Mar, 2022","Benjamin ""ThingOnItsOwn"" Hauer",Goblinz Publishing,"English, Spanish - Spain, French, German, Japanese, Korean, Polish, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(3,443)","(4,337)",894,"180.000,00₫",-50%
,,,,,,,,,,,,,"247.500,00₫",-60%
art of rally,"Action, Indie, Racing, Simulation, Sports","Racing, Driving, Sports, Physics, Difficult, Top-Down, Automobile Sim, Arcade, Relaxing, Stylized, Simulation, Offroad, Action, Atmospheric, Singleplayer, Great Soundtrack, Soundtrack, Controller, Indie, Fast-Paced",True,False,Funselektor,"23 Sep, 2020",Funselektor Labs Inc.,Funselektor Labs Inc.,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Portugal, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America","(4,158)","(4,457)",299,"321.000,00₫",-45%
,,,,,,,,,,,,,"59.000,00₫",-70%
Gym Simulator 24,"Casual, Indie, Simulation, Sports, Early Access","Early Access, Immersive Sim, Simulation, Casual, Management, Life Sim, Building, Sports, Martial Arts, 3D Fighter, Boxing, FPS, 3D, 3D Vision, Realistic, Colorful, Cycling, Economy, Modern, Female Protagonist",False,False,,"10 Nov, 2023",Quatech,Red Axe Games,"English, Russian, Turkish, French, Italian, German, Spanish - Spain, Arabic, Simplified Chinese, Portuguese - Brazil, Danish, Dutch, Traditional Chinese, Japanese, Korean, Spanish - Latin America, Polish, Hungarian, Norwegian, Portuguese - Portugal, Ukrainian, Greek, Czech, Swedish",745,802,57,"155.000,00₫",-20%
UNDYING,"Adventure, Indie","Story Rich, Multiple Endings, Action RPG, Survival, Adventure, Zombies, Female Protagonist, Post-apocalyptic, Crafting, Top-Down, Horror, Abstract, Cooking, Cinematic, Dark Fantasy, RPG, Third Person, Open World, Action, Fantasy",True,True,Skystone Games,"7 Dec, 2023",Vanimals,Skystone Games,"English, Simplified Chinese, Japanese, French, German, Korean, Russian, Traditional Chinese, Spanish - Spain, Portuguese - Brazil, Italian, Turkish","(1,049)","(1,256)",207,"188.000,00₫",-20%
Pinball FX3,Simulation,"Pinball, Free to Play, Arcade, Simulation, Casual, Retro, Physics, Score Attack, Family Friendly, Singleplayer, Multiplayer, Relaxing, 1990's, Local Multiplayer, Top-Down, Replay Value, Colorful, Realistic, 1980s, Sports",True,False,Zen Studios,"26 Sep, 2017",Zen Studios,Zen Studios,"English, French, Italian, German, Spanish - Spain","(4,109)","(4,678)",569,Free,
,,,,,,,,,,,,,"59.000,00₫",-70%
Endzone - A World Apart,"Indie, Simulation, Strategy","City Builder, Strategy, Survival, Post-apocalyptic, Simulation, Base Building, Indie, Colony Sim, Building, Sandbox, Management, Singleplayer, Resource Management, Economy, Real-Time, Difficult, Realistic, Procedural Generation, Atmospheric, Early Access",True,False,Assemble Entertainment,"18 Mar, 2021",Gentlymad Studios,Assemble Entertainment,"English, German, Simplified Chinese, Japanese, Russian, Korean, French, Spanish - Spain, Portuguese - Brazil","(6,685)","(8,594)","(1,909)","250.000,00₫",-80%
LEGO® Star Wars™ - The Complete Saga,Adventure,"LEGO, Local Co-Op, Adventure, Co-op, Family Friendly, Multiplayer, Comedy, Singleplayer, Action, Funny, Sci-fi, Classic, Local Multiplayer, Great Soundtrack, Space, Controller, Psychological Horror, Puzzle, Casual, Open World",False,False,Star Wars,"12 Nov, 2009",Traveller's Tales,LucasArts,"English, French, Italian, German, Spanish - Spain","(20,793)","(21,522)",729,"260.000,00₫",-75%
SENRAN KAGURA Peach Beach Splash,Action,"Sexual Content, Nudity, Anime, Mature, Female Protagonist, Hentai, Third-Person Shooter, Action, Multiplayer, Shooter, Character Customization, Singleplayer, VR, Cute, Story Rich, NSFW, Third Person, Co-op, Psychological Horror, Funny",True,True,SENRAN KAGURA,"7 Mar, 2018",Tamsoft,XSEED Games,"English, French, Japanese, Korean, Simplified Chinese, Traditional Chinese","(3,116)","(3,876)",760,"250.000,00₫",-70%
Dead Frontier 2,"Action, Free to Play, Indie, Massively Multiplayer, RPG","Free to Play, Multiplayer, Survival Horror, Zombies, Third-Person Shooter, Horror, MMORPG, Online Co-Op, Survival, PvE, Massively Multiplayer, Gore, Sandbox, Inventory Management, Trading, Violent, Atmospheric, Post-apocalyptic, Action, RPG",False,True,,"15 Jul, 2019",Creaky Corpse Ltd,Creaky Corpse Ltd,"English, Portuguese - Brazil, Spanish - Spain, Portuguese - Portugal, Spanish - Latin America, German, Simplified Chinese, Russian, French, Italian, Japanese, Traditional Chinese","(16,819)","(23,643)","(6,824)",Free,
,,,False,False,,,,,,,,,"791.000,00₫",-60%
Dead Space™ 3,Action,"Action, Horror, Online Co-Op, Sci-fi, Shooter, Co-op, Survival, Third-Person Shooter, Space, Dark, Singleplayer, Survival Horror, Multiplayer, Thriller, Futuristic, Third Person, Gore, Crafting, Violent, Combat",True,True,Dead Space,"5 Feb, 2013",Visceral Games,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Russian","(7,752)","(10,316)","(2,564)","470.000,00₫",-75%
The Witcher: Enhanced Edition Director's Cut,"Action, RPG","RPG, Fantasy, Story Rich, Mature, Singleplayer, Choices Matter, Action, Third Person, Nudity, Adventure, Dark Fantasy, Based On A Novel, Atmospheric, Open World, Great Soundtrack, Medieval, Multiple Endings, Action RPG, Magic, Classic",True,False,THE WITCHER®,"16 Sep, 2008",CD PROJEKT RED,CD PROJEKT RED,"English, French, German, Spanish - Spain, Italian, Czech, Russian, Hungarian, Polish, Traditional Chinese","(67,286)","(75,818)","(8,532)","120.000,00₫",-65%
,,,,,,,,,,,,,"170.000,00₫",-66%
The Legend of Heroes: Kuro no Kiseki Ⅱ -CRIMSON SiN-,RPG,"RPG, JRPG, Interactive Fiction, Party-Based RPG, Visual Novel, Turn-Based Tactics, 3D, Cute, Anime, Fantasy, Romance, Emotional, Foreign, Turn-Based Combat, Narration, Story Rich, Singleplayer, Turn-Based, Well-Written, Sequel",True,False,The Legend of Heroes,"25 Jan, 2023",Nihon Falcom,Clouded Leopard Entertainment,"English, Traditional Chinese, Japanese, Korean",480,563,83,"1.414.000,00₫",-45%
Fallout Shelter,"RPG, Simulation, Free to Play","Free to Play, Base Building, Survival, Post-apocalyptic, Singleplayer, Simulation, Management, Strategy, 2D, Building, Casual, Crafting, Adventure, Sandbox, Multiplayer, RPG, Funny, Atmospheric, Action, Great Soundtrack",False,False,Fallout,"29 Mar, 2017",Bethesda Game Studios,Bethesda Softworks,"English, French, Italian, German, Spanish - Spain, Russian","(55,839)","(63,010)","(7,171)",Free,
The Bus,"Simulation, Early Access","Simulation, Driving, Automobile Sim, Multiplayer, Realistic, Relaxing, First-Person, Early Access, Moddable, Atmospheric, Singleplayer, Level Editor, Economy, Management, Open World, Time Management, Tutorial, VR, Transportation, Casual",False,False,Aerosoft,"25 Mar, 2021",TML-Studios,AeroSoft GmbH,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Finnish, Japanese, Polish, Russian, Turkish, Hungarian, Simplified Chinese, Arabic, Dutch, Portuguese - Portugal","(3,844)","(5,080)","(1,236)","445.000,00₫",-20%
Stay Out,"Action, Indie, Massively Multiplayer, RPG, Free to Play, Early Access","Free to Play, Survival, Multiplayer, Open World, Online Co-Op, Co-op, Massively Multiplayer, Zombies, Horror, Post-apocalyptic, Action, RPG, FPS, Singleplayer, MMORPG, PvP, Atmospheric, Early Access, Violent, Indie",False,True,,"27 Nov, 2019",MOBITECH LLC,MOBITECH LLC,"English, Russian, Simplified Chinese","(11,582)","(19,339)","(7,757)",Free,
Pseudoregalia,"Action, Adventure, Indie","3D Platformer, Metroidvania, Parkour, Exploration, Female Protagonist, Platformer, 3D, Surreal, Nonlinear, Third Person, Old School, Stylized, Singleplayer, Abstract, Controller, Fantasy, Souls-like, Adventure, Magic, Cartoon",False,False,,"28 Jul, 2023",rittzler,rittzler,English,"(5,023)","(5,145)",122,"87.500,00₫",
,,,,,,,,,,,,,"449.000,00₫",
Gravity Circuit,"Action, Indie","Action, Platformer, Indie, Pixel Graphics, 2D, Singleplayer, Robots, 2D Platformer, Controller, Fast-Paced, Retro, Side Scroller, Metroidvania, Great Soundtrack, Beat 'em up, Superhero, Sci-fi, Soundtrack, Level Editor",True,False,,"13 Jul, 2023",Domesticated Ant Games,PID Games,"English, French, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, Dutch","(1,401)","(1,457)",56,"359.000,00₫",-25%
Anno 2205™,"Simulation, Strategy","City Builder, Strategy, Simulation, Futuristic, 4X, Sci-fi, Economy, Singleplayer, Space, Resource Management, Management, RTS, Multiplayer, Building, Sandbox, Base Building, Open World, Story Rich, Trading, 3D",True,False,Anno Franchise,"3 Nov, 2015",Blue Byte,Ubisoft,"English, French, German, Spanish - Spain, Polish, Russian","(3,834)","(5,501)","(1,667)","660.000,00₫",-85%
"El Paso, Elsewhere",Action,"Third-Person Shooter, Cinematic, Adventure, Action-Adventure, Action, Horror, Survival Horror, Survival, Stealth, Zombies, Dark, Singleplayer, Story Rich, Resource Management, 3D, Psychological Horror, Gore, Third Person, Shooter, Atmospheric",True,False,"El Paso, Elsewhere","26 Sep, 2023",Strange Scaffold,Strange Scaffold,English,670,705,35,"260.000,00₫",-20%
Heroes® of Might & Magic® III - HD Edition,"RPG, Strategy","Strategy, Turn-Based Strategy, Classic, Multiplayer, Fantasy, RPG, Great Soundtrack, Turn-Based, Atmospheric, Singleplayer, Co-op, Remake, Adventure, Replay Value, Retro, Local Multiplayer, Magic, Local Co-Op, Nostalgia, Action",False,False,Might & Magic Franchise,"29 Jan, 2015",Dotemu,Ubisoft Entertainment,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Czech, Simplified Chinese","(15,503)","(19,726)","(4,223)","249.000,00₫",-75%
SUCCUBUS,"Action, Adventure","Sexual Content, Nudity, Mature, Gore, Female Protagonist, Violent, Demons, Action, Horror, Singleplayer, Adventure, Dark Fantasy, First-Person, Atmospheric, Exploration, Survival, Psychological Horror, Survival Horror, Action-Adventure, Psychedelic",True,True,Madmind,"5 Oct, 2021",Madmind Studio,Madmind Studio,"English, Polish, Russian, French, Italian, German, Spanish - Spain, Korean, Simplified Chinese, Turkish, Traditional Chinese, Hungarian","(3,344)","(4,272)",928,"220.000,00₫",-70%
,,,,,,,,,,,,,"215.000,00₫",-30%
,,,False,False,,,,,,,,,"1.895.000,00₫",-28%
Ruined King: A League of Legends Story™,"Indie, RPG","RPG, Turn-Based Combat, Singleplayer, Fantasy, Isometric, Story Rich, Indie, Adventure, JRPG, Great Soundtrack, Female Protagonist, Horror",True,False,,"16 Nov, 2021",Airship Syndicate,Riot Forge,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish, Vietnamese","(9,022)","(10,106)","(1,084)","430.000,00₫",-40%
,,,,,,,,,,,,,"205.000,00₫",-30%
Witch It,"Action, Casual, Indie","Multiplayer, Funny, Casual, Action, Indie, Hidden Object, Online Co-Op, Survival, Stealth, Co-op, Fantasy, Early Access, First-Person, Team-Based, Family Friendly, Strategy, PvP, Atmospheric, Open World, Magic",False,False,Barrel Roll Games,"22 Oct, 2020",Barrel Roll Games,Barrel Roll Games,"English, German, Simplified Chinese, Turkish, French, Italian, Dutch, Russian, Portuguese - Brazil, Romanian, Traditional Chinese, Czech, Spanish - Spain, Korean, Danish, Swedish, Ukrainian, Hungarian, Galician, Japanese, Polish, Basque","(15,722)","(17,726)","(2,004)","260.000,00₫",-75%
TerraTech,"Action, Indie","Building, Sandbox, Open World, Open World Survival Craft, Multiplayer, Robots, Crafting, Action, Survival, Adventure, Singleplayer, Exploration, Strategy, Early Access, Indie, Physics, Third Person, Shooter, Co-op, Sci-fi",True,False,TerraTech,"10 Aug, 2018",Payload Studios,Payload Studios,"English, German, Russian, French, Dutch, Polish, Portuguese - Portugal, Portuguese - Brazil, Italian, Swedish, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese, Czech, Danish","(18,904)","(20,767)","(1,863)","220.000,00₫",-70%
The Henry Stickmin Collection,"Adventure, Casual, Indie","Funny, Multiple Endings, Choose Your Own Adventure, Memes, Comedy, Singleplayer, Classic, Choices Matter, Point & Click, 2D, Epic, Hand-drawn, Adventure, Family Friendly, Indie, Action, Interactive Fiction, Casual, Parody, Old School",False,False,Innersloth,"7 Aug, 2020",PuffballsUnited,Innersloth,English,"(40,887)","(41,452)",565,"185.000,00₫",-50%
,,,,,,,,,,,,,"260.000,00₫",-25%
Nobody Saves the World,"Action, Adventure, Indie, RPG","RPG, Action RPG, Hack and Slash, Dungeon Crawler, Action, Fantasy, Adventure, 2D, Top-Down, Magic, Procedural Generation, Action-Adventure, Funny, Class-Based, Cartoony, Character Customization, Hand-drawn, Colorful, Cartoon, Controller",True,False,DrinkBox Studios,"18 Jan, 2022",DrinkBox Studios,DrinkBox Studios,"English, French, Italian, German, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Japanese","(4,391)","(4,817)",426,"321.000,00₫",-60%
The Mageseeker: A League of Legends Story™,"Action, Indie, RPG","RPG, Pixel Graphics, 2D, Hack and Slash, Singleplayer, Fantasy, Magic, Combat, Story Rich, Top-Down, Action, Indie, Action RPG, Arcade, Action-Adventure, Adventure, Roguelike, Funny, Action Roguelike, LGBTQ+",True,False,Digital Sun,"18 Apr, 2023",Digital Sun,Riot Forge,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(1,730)","(2,044)",314,"385.000,00₫",-40%
,,,,,,,,,,,,,"120.000,00₫",-75%
Puyo Puyo™ Tetris® 2,"Action, Casual","Casual, Action, Arcade, Puzzle, Cute, Multiplayer, Colorful, Anime, Local Multiplayer, Singleplayer, Family Friendly, Competitive, Fighting, Funny, Great Soundtrack, 2D, 4 Player Local",False,False,,"23 Mar, 2021",SEGA,SEGA,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese","(1,419)","(1,735)",316,"690.000,00₫",-75%
,,,,,,,,,,,,,"170.000,00₫",-66%
,,,,,,,,,,,,,"100.000,00₫",-25%
OXENFREE II: Lost Signals,"Adventure, Indie","Thriller, Supernatural, Adventure, Mystery, Story Rich, Exploration, Female Protagonist, Choose Your Own Adventure, Side Scroller, Interactive Fiction, Horror, Point & Click, Walking Simulator, Choices Matter, Narrative, Visual Novel, Multiple Endings, Singleplayer, Dark Comedy, Psychological Horror",False,False,,"12 Jul, 2023",Night School Studio,Netflix,"English, French, German, Japanese, Simplified Chinese, Italian, Spanish - Spain, Arabic, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Spanish - Latin America, Swedish, Traditional Chinese, Turkish, Ukrainian, Vietnamese, Croatian, Hebrew, Hindi, Indonesian","(1,074)","(1,178)",104,"260.000,00₫",-50%
,,,False,False,,,,,,,,,"2.272.000,00₫",-89%
Into the Breach,"Indie, RPG, Simulation, Strategy","Strategy, Turn-Based Strategy, Indie, Pixel Graphics, Turn-Based Tactics, Mechs, Roguelike, Turn-Based, Puzzle, Sci-fi, Roguelite, Singleplayer, Tactical, Turn-Based Combat, RPG, Isometric, Replay Value, Simulation, Procedural Generation, Great Soundtrack",True,False,,"27 Feb, 2018",Subset Games,Subset Games,"English, French, Italian, German, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Arabic, Korean, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Turkish","(17,084)","(18,034)",950,"165.000,00₫",-50%
Dark Envoy,RPG,"Steampunk, Real Time Tactics, Exploration, Dungeon Crawler, Party-Based RPG, Co-op Campaign, Real-Time with Pause, Isometric, Action RPG, RPG, Dark Fantasy, Atmospheric, Singleplayer, Story Rich, Lore-Rich, Fantasy, CRPG, Character Customization, Combat, Adventure",True,False,Event Horizon,"24 Oct, 2023",Event Horizon,Event Horizon,"English, French, German, Polish, Russian, Simplified Chinese, Turkish, Spanish - Latin America",269,343,74,"385.000,00₫",-20%
Half-Life 2: Episode One,Action,"FPS, Action, Sci-fi, Singleplayer, First-Person, Story Rich, Shooter, Classic, Dystopian, Aliens, Zombies, Adventure, Episodic, Atmospheric, Silent Protagonist, Great Soundtrack, Short, Puzzle, Cinematic, Moddable",True,False,Half-Life,"1 Jun, 2006",Valve,Valve,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai","(26,515)","(27,691)","(1,176)","115.000,00₫",-90%
RealFlight Evolution,"Indie, Racing, Simulation","Simulation, Flight, Realistic, Physics, 3D, Singleplayer, Multiplayer, Local Multiplayer, Racing, Vehicular Combat, VR, Colorful, First-Person, Third Person, Jet, PvP, Character Customization, Controller, Level Editor, Open World",True,False,,"27 Oct, 2022","Horizon Hobby, LLC","Horizon Hobby, LLC",English,355,428,73,"2.370.000,00₫",
RollerCoaster Tycoon® 3: Complete Edition,"Simulation, Strategy","Management, Strategy, Building, Simulation, City Builder, Casual, Sandbox, Family Friendly, Resource Management, 3D, Cartoony, Colorful, Stylized, Funny, Singleplayer, Base Building, Multiplayer, Cinematic",False,False,,"24 Sep, 2020",Frontier Developments,Frontier Foundry,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Finnish, Norwegian, Swedish","(1,528)","(1,776)",248,"188.000,00₫",-70%
,,,,,,,,,,,,,"226.000,00₫",-50%
Ghost Watchers,"Adventure, Early Access","Horror, Co-op, Survival Horror, Multiplayer, Demons, Adventure, Puzzle, First-Person, Action-Adventure, Cinematic, Dark, Realistic, Detective, Online Co-Op, PvE, Team-Based, Nonlinear, Singleplayer, VR, Early Access",False,False,,"28 Jul, 2022",Renderise, Renderise,"English, French, Italian, German, Spanish - Spain, Danish, Traditional Chinese, Korean, Dutch, Norwegian, Polish, Portuguese - Portugal, Russian, Thai, Turkish, Ukrainian, Finnish, Czech, Swedish, Japanese, Simplified Chinese","(11,484)","(13,284)","(1,800)","165.000,00₫",-20%
SYNCED,"Action, Adventure, Free to Play","Third Person, Adventure, Co-op, Post-apocalyptic, Futuristic, Sci-fi, PvE, Free to Play, Online Co-Op, Third-Person Shooter, PvP, Looter Shooter, Team-Based, Hero Shooter, Robots, Action-Adventure, Singleplayer, Multiplayer, Battle Royale, Roguelite",True,False,,"7 Sep, 2023",NExT Studios,Level Infinite,"English, French, Italian, German, Russian, Turkish, Japanese, Traditional Chinese, Korean, Portuguese - Brazil, Spanish - Latin America, Simplified Chinese","(3,020)","(4,450)","(1,430)",Free,
Skullgirls 2nd Encore,"Action, Indie","Fighting, 2D Fighter, Indie, Hand-drawn, Female Protagonist, Multiplayer, Anime, Competitive, Stylized, Local Multiplayer, Crowdfunded, Controller, Singleplayer, Lore-Rich, 2D, Noir, Action, Cartoon, Arcade, Story Rich",True,False,,"22 Aug, 2013",Hidden Variable Studios,Autumn Games,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil","(28,124)","(38,971)","(10,847)","220.000,00₫",-85%
The Evil Within 2,"Action, Adventure","Horror, Survival Horror, Psychological Horror, Story Rich, Action, Open World, Adventure, Gore, Singleplayer, Atmospheric, Third Person, Third-Person Shooter, Violent, Stealth, Survival, Zombies, First-Person, Shooter, Dark, Great Soundtrack",False,False,,"12 Oct, 2017",Tango Gameworks,Bethesda Softworks,"English, French, Italian, German, Spanish - Spain, Japanese, Russian, Korean, Polish, Portuguese - Brazil, Traditional Chinese, Simplified Chinese","(24,060)","(26,037)","(1,977)","900.000,00₫",-85%
Asterigos: Curse of the Stars,"Action, Adventure, RPG","Female Protagonist, Exploration, Souls-like, Action RPG, Story Rich, Action-Adventure, Rome, Mythology, Magic, Hack and Slash, Action, RPG, 3D, Medieval, Metroidvania, Third Person, Controller, Multiple Endings, Fantasy, Stylized",True,False,tinyBuild,"11 Oct, 2022",Acme Gamestudio,tinyBuild,"English, Simplified Chinese, Traditional Chinese, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian","(1,891)","(2,299)",408,"390.000,00₫",-45%
Zero Hour,"Action, Simulation, Strategy, Early Access","Tactical, Shooter, FPS, Realistic, Multiplayer, Action, First-Person, Military, Online Co-Op, PvP, Team-Based, Strategy, Simulation, Immersive Sim, Combat, Stealth, 3D, Violent, PvE, Early Access",True,True,,"12 Aug, 2020",M7 Productions,Attrito,"English, French","(21,712)","(27,026)","(5,314)","140.000,00₫",-20%
,,,,,,,,,,,,,"150.000,00₫",-20%
To the Moon,"Adventure, Indie, RPG","Story Rich, Great Soundtrack, Indie, Emotional, RPGMaker, Adventure, Pixel Graphics, Singleplayer, Interactive Fiction, Romance, RPG, Short, 2D, Funny, Psychological, Retro, Cute, Linear, Casual, Female Protagonist",True,False,To the Moon Series,"1 Nov, 2011",Freebird Games,Freebird Games,"English, French, German, Italian, Russian, Korean, Spanish - Spain, Polish, Portuguese - Brazil, Turkish, Simplified Chinese, Ukrainian, Japanese","(68,804)","(71,373)","(2,569)","142.000,00₫",-80%
Ni no Kuni Wrath of the White Witch™ Remastered,"Action, Adventure, RPG","RPG, Adventure, JRPG, Action, Anime, Great Soundtrack, Singleplayer, Creature Collector, Story Rich, Fantasy, Open World, Cute, Turn-Based Combat, Turn-Based, Exploration, Family Friendly, Magic, Colorful",False,False,BANDAI NAMCO Entertainment,"19 Sep, 2019",LEVEL-5,BANDAI NAMCO Entertainment,"English, French, Italian, German, Spanish - Spain, Japanese, Russian, Spanish - Latin America","(3,191)","(3,734)",543,"620.000,00₫",-85%
Pizza Possum,"Action, Casual, Indie","Adventure, Exploration, Strategy, Colorful, Pixel Graphics, Top-Down, 3D, Cartoony, Co-op, Indie, Local Co-Op, Roguelite, Cute, Roguelike, Casual, Stealth, Funny, Cooking, Controller, Villain Protagonist",False,False,,"28 Sep, 2023",Cosy Computer,Raw Fury,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Ukrainian",800,828,28,"102.000,00₫",-20%
,,,,,,,,,,,,,"240.000,00₫",
Sunset Overdrive,"Action, Adventure","Open World, Action, Parkour, Character Customization, Third-Person Shooter, Funny, Adventure, Singleplayer, Comedy, Violent, Colorful, Zombies, Great Soundtrack, Post-apocalyptic, Third Person, Shooter, Fast-Paced, Sandbox, Female Protagonist, 3D Platformer",False,True,,"16 Nov, 2018",Insomniac Games,Xbox Game Studios,"English, French, Italian, German, Japanese, Polish, Portuguese - Brazil, Russian, Spanish - Latin America, Spanish - Spain","(9,866)","(10,956)","(1,090)","188.000,00₫",-75%
Scarlet Hollow,"Adventure, Casual, Indie, RPG, Early Access","Early Access, Psychological Horror, Choices Matter, Story Rich, Horror, Dating Sim, Visual Novel, Multiple Endings, Dark Fantasy, Well-Written, Interactive Fiction, Lovecraftian, Supernatural, Mystery, RPG, Dark Humor, Narrative, Point & Click, Adventure, Choose Your Own Adventure",True,True,Scarlet Hollow,"11 Jun, 2021",Black Tabby Games,Black Tabby Games,English,"(1,651)","(1,667)",16,"299.000,00₫",-25%
,,,,,,,,,,,,,"160.000,00₫",-10%
,,,,,,,,,,,,,"142.000,00₫",-25%
,,,,,,,,,,,,,"409.000,00₫",-50%
DAEMON X MACHINA,Action,"Mechs, Action, Character Customization, Robots, Anime, Sci-fi, Singleplayer, Post-apocalyptic, Multiplayer, PvP, Great Soundtrack, Third-Person Shooter, Third Person, Cyberpunk, Co-op, RPG, Shooter, Epic",True,False,,"13 Feb, 2020",Marvelous Inc.,XSEED Games,"English, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese","(5,282)","(6,009)",727,"390.000,00₫",-60%
WolfQuest: Anniversary Edition,"Action, RPG, Simulation, Early Access","Early Access, Life Sim, Survival, Multiplayer, Open World, Co-op, Nature, PvE, Online Co-Op, RPG, Realistic, Hunting, Education, Exploration, Action, Singleplayer, Simulation, Action RPG, Immersive Sim, Action-Adventure",True,False,WolfQuest,"25 Jul, 2019",eduweb,eduweb,English,"(6,841)","(7,023)",182,"260.000,00₫",
,,,,,,,,,,,,,"102.000,00₫",-12%
Half-Life 2: Episode Two,Action,"FPS, Action, Sci-fi, Singleplayer, Shooter, Story Rich, First-Person, Classic, Adventure, Aliens, Atmospheric, Zombies, Silent Protagonist, Dystopian, Great Soundtrack, Post-apocalyptic, Episodic, Puzzle, Horror, Multiplayer",True,False,Half-Life,"10 Oct, 2007",Valve,Valve,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese","(36,083)","(37,171)","(1,088)","115.000,00₫",-90%
The Beginner's Guide,"Adventure, Indie","Story Rich, Walking Simulator, Narration, Indie, Atmospheric, First-Person, Short, Singleplayer, Adventure, Abstract, Surreal, Experimental, Psychological, Emotional, Great Soundtrack, Dark, Philosophical, Experience, Psychological Horror, Puzzle",False,False,,"1 Oct, 2015",Everything Unlimited Ltd.,Everything Unlimited Ltd.,"English, French, German, Spanish - Spain, Russian","(17,207)","(19,646)","(2,439)","120.000,00₫",-50%
